love,sex,6.77,9,6,8,8,7,8,8,4,7,2,6,7,8
century,nation,3.16,5,0,7.5,5,4,4,0,2,2,4,2,2,2,0,8,3
delay,racism,1.19,1,0,1,1,6,1,0,1,0,0,4,0,0,0,3,1
delay,news,3.31,7,4,3,1,6,5,6,4,4,0,1,4,3,0,3,2
minister,party,6.63,8,7.5,8,7,6,7,8,8,5,7.5,6,1,8,8,8,3
peace,plan,4.75,5,2,7,6,7,4,3,5,4,4,5,3,7,2,9,3
minority,peace,3.69,6,0,7,3,1,5,6,4,4,4,3,3,5,0,5,3
attempt,peace,4.25,7,4,7,2,7,4,2,3,3,4,3,5,5,4,5,3
government,crisis,6.56,8,5,8,5,7,7,5,6,5,6,7,8,7,9,7,5
deployment,departure,4.25,7,0,2,6,7,5,6,4,2,2,5,6,2,0,8,6
deployment,withdrawal,5.88,9,9,6,6,3,8,8,4,3,2,5,8,9,0,8,6
energy,crisis,5.94,8,5,8,5,8,8,8,4,1,4,2,7,5,8,8,6
announcement,news,7.56,8,7,8,8,8,9,8,6,6,8,8,8,6,8,9,6
announcement,effort,2.75,5,6,2,2,1,5,4,2,2,2,2,0,3,0,5,3
stroke,hospital,7.03,9,8,8,8,7,3,8,7,6,7.5,7,7,9,3,8,7
disability,death,5.47,7,8,6.5,4,3,7,7,5,6,2,7,2,8,2,8,5
victim,emergency,6.47,8,7,7.5,4,5,6,6,7,6,4,5,6,9,9,9,5
treatment,recovery,7.91,8,8,8.5,9,9,8,9,8,6.5,7.5,7,7,10,5,9,7
journal,association,4.97,8,2,7.5,7,1,5,4,6,3,6,7,3,7,1,8,4
doctor,personnel,5.00,7,2,8,6,4,7,2,6,2,6,4,5,7,3,8,3
doctor,liability,5.19,7,4,8,7,4,6,4,5,4,2,4,2,6,8,7,5
liability,insurance,7.03,6,8.5,9,5,8,9,6,8,5,4,7,8,8,5,9,7
school,center,3.44,6,1,4,1,5,2,4,3,3,4,5,1,3,3,7,3
reason,hypertension,2.31,4,1,1,2,6,1,0,1,3,2,2,7,0,2,3,2
reason,criterion,5.91,3,2,8,7,9,3,6,4,4.5,8,7,7,8,6,7,5
hundred,percent,7.38,9,5,9,3,10,9,6,7,7,6,6,7,10,9,8,7
Harvard,Yale,8.13,9,8,9,10,8,8,9,10,8.5,7.5,8,8,10,0,8,9
hospital,infrastructure,4.63,5,2,1,5,6,5,4,7,3,4,5,5,5,3,7,7
death,row,5.25,2,7,8,2,8,7,6,3,7,4,2,7,9,0,8,4
death,inmate,5.03,4,5,7.5,1,5,4,7,3,6,2,6,6,3,8,8,5
lawyer,evidence,6.69,7,6.5,8.5,7,8,6,8,8,7,3,5,8,10,0,9,6
life,death,7.88,9,9.5,9.5,5,10,8,8,8,6.5,7.5,8,9,10,0,9,9
life,term,4.50,2,8,2,1,8,7,6,3,1,4,2,8,3,3,8,6
word,similarity,4.75,6,1,8,2,10,7,6,2,1,4,2,5,0,9,7,6
board,recommendation,4.47,6,4,2,1,7,8,3,4,1,7.5,2,7,7,0,7,5
governor,interview,3.25,4,0,4,1,7,6,0,5,0,2,3,5,3,3,4,5
OPEC,country,5.63,7,4,8,4,0,4,8,6,5,8,4,6,7,8,6,5
peace,atmosphere,3.69,6,5,5,1,0,6,3,5,2,6,1,3,3,0,7,6
peace,insurance,2.94,6,4,1,1,7,4,0,3,2,6,5,1,0,0,3,4
territory,kilometer,5.28,6,6,8,1,5,8,7,6,4,7.5,5,3,3,2,8,5
travel,activity,5.00,7,5,6.5,2,5,6,6,6,5,7.5,3,2,4,2,8,5
competition,price,6.44,7,8,7.5,5,6,7,8,4,6,7.5,5,6,9,5,9,3
consumer,confidence,4.13,7,4,2,3,3,3,1,2,2,6,2,7,9,4,8,3
consumer,energy,4.75,5,3,8,2,6,6,0,4,0,4,7,6,6,9,8,2
problem,airport,2.38,2,2,1,0,5,4,0,3,0,4,1,2,0,7,5,2
car,flight,4.94,6,3,7,5,6,6,4,7,4,2,7,5,8,0,5,4
credit,card,8.06,8,6,9,8,9,8,8,9,7,8,5,8,10,9,9,8
credit,information,5.31,7,5,2,3,7,4,1,5,7,1,2,8,10,9,8,6
hotel,reservation,8.03,8,7,9,7,8,8,8,8,7,7.5,7,8,10,9,9,8
grocery,money,5.94,8,5,7.5,2,7,7,7,5,6.5,6,6,8,6,2,5,7
registration,arrangement,6.00,8,8,7,7,8,4,1,4,7,6,6,6,8,3,8,5
arrangement,accommodation,5.41,5,6,7,6,4,4,4,6,3,7.5,5,5,7,6,7,4
month,hotel,1.81,4,0,1,1,3,6,0,2,1,1,2,0,3,0,3,2
type,kind,8.97,9,9.5,9.5,10,8,9,9,10,8.5,9,9,9,9,9,9,7
arrival,hotel,6.00,7,8,6.5,1,6,9,7,5,6,7.5,4,6,7,4,6,6
bed,closet,6.72,8,7.5,8,5,7,8,7,8,7,6,7,5,9,1,8,6
closet,clothes,8.00,8,7,9,10,8,9,8,9,9,8,7,8,9,3,9,7
situation,conclusion,4.81,8,4,6,4,6,3,7,6,2,6,6,7,4,0,6,2
situation,isolation,3.88,8,3,1,2,6,3,0,3,2,6,6,7,3,0,8,4
impartiality,interest,5.16,7,9.5,8,2,4,3,0,7,6,3,7,6,9,0,8,3
direction,combination,2.25,2,0,1,1,7,2,0,2,2,2,4,3,0,1,6,3
street,place,6.44,7,7,6,7,5,7,5,7,6,4,7,8,4,7,9,7
street,avenue,8.88,9,9,8.5,9,9,9,7,10,8.5,9,7,9,10,9,10,9
street,block,6.88,5,7,8.5,7,4,8,7,9,8.5,9,6,9,4,0,9,9
street,children,4.94,6,6,6,2,5,7,2,5,4,6,3,5,6,5,5,6
listing,proximity,2.56,3,0,1,1,5,4,0,3,1,2,2,4,3,1,7,4
listing,category,6.38,2,3,7,9,7,6,7,7,4,8,7,8,10,3,8,6
cell,phone,7.81,8,6,8,9,9,8,8,8,8,8,3,9,8,9,8,8
production,hike,1.75,2,2,1,1,6,3,0,1,1,0,2,3,0,0,4,2
benchmark,index,4.25,5,5,2,2,7,4,5,7,3,1,7,2,6,4,5,3
media,trading,3.88,6,2,5,1,7,6,3,4,2,2,6,2,5,0,8,3
media,gain,2.88,5,0,2,1,7,4,2,2,3,2,5,1,3,0,7,2
dividend,payment,7.63,6,9,7,4,9,8,8,8,7,8,7,8,8,9,9,7
dividend,calculation,6.48,7,8.75,6.5,1,9,7,6,7,6.5,8,3,6,7,8,8,5
calculation,computation,8.44,9,9.5,9.5,8,8,9,5,10,9,8,8,9,7,9,9,8
currency,market,7.50,8,5,7.5,5,9,8,7,8,7,7.5,6,8,8,9,9,8
OPEC,oil,8.59,8,8,9,10,10,8,8,8,8,7.5,7,9,10,9,9,9
oil,stock,6.34,6,5,8,6,7,6,2,6,8,7.5,6,6,7,8,7,6
announcement,production,3.38,5,0,3,2,6,5,1,4,2,2,3,6,3,5,6,1
announcement,warning,6.00,7,7,5,7,8,4,4,8,5,7,6,8,3,8,7,2
profit,warning,3.88,7,7,1,5,4,6,4,3,5,1,3,3,0,0,7,6
profit,loss,7.63,8,9.5,9.5,10,8,8,8,9,6,4,8,8,10,0,9,7
dollar,yen,7.78,8,9,9,10,7,5,8,8,7,7.5,8,8,10,3,9,8
dollar,buck,9.22,9,10,9.5,10,9,8,9,10,9,8,10,10,8,9,10,9
dollar,profit,7.38,8,6,9,9,9,7,7,8,8,6,7,5,6,7,8,8
dollar,loss,6.09,8,6,8.5,2,5,7,7,8,4,6,5,5,5,7,8,6
computer,software,8.50,9,8,9,8,9,8,8,9,8,9,8,8,10,9,9,7
network,hardware,8.31,8,8.5,8.5,9,9,7,8,7,8,9,8,9,8,9,9,8
phone,equipment,7.13,8,8.5,7.5,5,9,6,7,6,6,8,5,7,7,9,8,7
equipment,maker,5.91,8,7,7,6,6,5,8,5,2,7.5,3,4,6,5,8,7
luxury,car,6.47,7,6,8,6,7,7,5,5,3,7.5,6,6,7,7,8,8
five,month,3.38,5,6,2,1,5,4,1,5,2,4,2,1,3,6,5,2
report,gain,3.63,6,5,4,1,4,5,4,3,2,0,2,1,7,7,6,1
investor,earning,7.13,8,7,8,8,7,7,8,7,3,8,7,6,8,7,8,7
liquid,water,7.89,8,7.75,8.5,8,7,8,4,8,7,9,8,9,8,9,9,8
baseball,season,5.97,8,3,8.5,7,8,8,4,6,5,8,3,6,7,2,7,5
game,victory,7.03,8,8,7,7,5,8,6,7,6.5,8,7,5,9,8,7,6
game,team,7.69,8,8.5,8.5,8,5,8,6,9,7,9,7,7,9,8,8,7
marathon,sprint,7.47,7,9,7,8,6,8,7,8,6.5,9,8,8,5,9,8,6
game,series,6.19,7,8,7.5,6,5,8,5,6,2,7.5,3,8,6,5,8,7
game,defeat,6.97,8,8,7.5,7,6,8,6,7,6,8,7,5,9,6,7,6
seven,series,3.56,5,6,2,2,5,4,4,5,3,4,4,1,0,1,7,4
seafood,sea,7.47,9,8,7.5,8,9,9,7,7,7,9,6,6,5,7,8,7
seafood,food,8.34,9,9.5,9,9,9,8,4,9,7,9,8,9,8,9,9,8
seafood,lobster,8.70,9,9.75,8.5,10,9,9,6,10,7,9,9,9,8,9,9,8
lobster,food,7.81,8,8,8,10,9,7,4,9,7,9,6,9,9,7,8,7
lobster,wine,5.70,7,7.75,7.5,1,6,6,3,8,5.5,7.5,4,6,7,1,7,7
food,preparation,6.22,6,5,6.5,5,9,6,3,7,6,8,5,6,6,7,8,6
video,archive,6.34,7,6,7,5,9,7,4,7,4,7.5,5,7,5,9,8,4
start,year,4.06,5,5.5,6.5,2,5,3,0,6,4,6,2,2,3,9,4,2
start,match,4.47,5,2,6.5,1,9,3,3,8,1,2,3,5,5,9,6,3
game,round,5.97,4,8,8,4,5,5,7,9,4,7.5,5,6,7,5,8,3
boxing,round,7.61,6,8.25,7.5,7,8,7,8,9,4,8,7,8,10,9,9,6
championship,tournament,8.36,9,8.75,9,9,9,8,7,10,7,8,8,8,10,9,8,6
fighting,defeating,7.41,8,8,8,8,5,7,6,9,7,7.5,8,9,8,5,9,6
line,insurance,2.69,5,2,2,1,6,3,3,4,1,2,2,2,0,0,9,1
day,summer,3.94,7,7,2,1,4,3,1,7,3,4,4,4,6,1,5,4
summer,drought,7.16,8,8,8,9,5,7,7,8,5,7.5,5,4,8,9,8,8
summer,nature,5.63,5,6,4,7,9,5,6,7,4,6,6,3,3,6,7,6
day,dawn,7.53,8,8.5,8,8,9,8,6,8,6,6,8,7,8,7,8,7
nature,environment,8.31,9,6.5,8.5,9,9,9,7,9,8,8,8,8,10,9,8,7
environment,ecology,8.81,9,8.5,8.5,9,9,9,8,10,8,9,9,9,10,7,9,9
nature,man,6.25,5,6,8,5,9,5,5,7,3,8,5,6,8,5,8,7
man,woman,8.30,8,9.75,9,10,9,9,8,9,7.5,7.5,9,9,10,1,9,8
man,governor,5.25,7,4.5,5,1,6,4,3,7,2,7.5,3,7,7,8,7,5
murder,manslaughter,8.53,8,9.9,9.5,10,7,9,9,10,6,4,8,9,9,9,10,9
soap,opera,7.94,8,4,8.5,7,9,9,8,9,8,7.5,7,8,9,9,7,9
opera,performance,6.88,8,2,7.5,5,9,5,7,7,8,7.5,6,9,7,9,7,6
life,lesson,5.94,7,5,7.5,3,9,8,4,6,5,7.5,4,5,2,9,7,6
focus,life,4.06,5,0,7.5,1,7,6,0,3,4,7.5,3,2,2,7,5,5
production,crew,6.25,8,4,8,4,8,7,5,7,3,8,4,7,9,9,6,3
television,film,7.72,8,5,8.5,8,9,8,8,9,5,8,7,8,9,9,8,6
lover,quarrel,6.19,7,2,8.5,3,7,7,6,9,5,7.5,4,6,8,7,7,5
viewer,serial,2.97,3,0.5,1,1,4,3,0,6,2,2,2,7,7,3,4,2
possibility,girl,1.94,3,0,0,1,4,2,0,2,2,4,3,1,0,3,5,1
population,development,3.75,5,1,3,2,7,5,2,7,2,6,4,1,4,1,5,5
morality,importance,3.31,7,0,1,1,6,4,0,6,1,6,3,3,3,4,4,4
morality,marriage,3.69,6,5,2,1,5,4,1,3,3,6,3,5,4,1,4,6
Mexico,Brazil,7.44,8,8.5,8,6,7,7,8,9,7,7.5,7,8,10,2,8,8
gender,equality,6.41,8,6,5,4,4,8,5,8,6,7.5,2,8,8,7,7,9
change,attitude,5.44,8,5,6,3,4,7,4,7,7,6,4,6,5,0,7,8
family,planning,6.25,7,5,7,3,7,8,4,6,7,8,7,6,8,1,8,8
opera,industry,2.63,7,0,1,1,7,2,3,3,2,2,1,2,3,1,4,3
sugar,approach,0.88,3,0,0,1,5,1,0,1,0,0,1,0,0,0,1,1
practice,institution,3.19,4,1,1,1,6,2,2,2,4,3,6,6,5,0,5,3
ministry,culture,4.69,4,1,6,4,7,6,1,4,5,6,5,7,6,7,3,3
problem,challenge,6.75,7,7.5,7.5,8,7,7,1,10,5,6,6,8,8,8,7,5
size,prominence,5.31,7,8.5,6,7,6,4,2,8,3.5,2,6,5,6,1,7,6
country,citizen,7.31,8,7,7,9,8,7,7,7,5,8,7,8,9,6,8,6
planet,people,5.75,5,0,6,7,8,5,6,5,5,9,7,6,4,7,7,5
development,issue,3.97,5,1,6,1,5,3,1,5,3,7.5,3,7,3,2,5,6
experience,music,3.47,6,1,7,1,5,3,1,1,1,7.5,3,8,3,1,5,2
music,project,3.63,5,0,6,1,5,3,4,2,3,6,5,2,7,2,4,3
glass,metal,5.56,7,7,8,4,6,5,4,7,6,4,7,7,6,0,5,6
aluminum,metal,7.83,9,8.75,9,9,7,7,6,8,6,7.5,8,9,8,8,8,7
chance,credibility,3.88,8,3,1,3,6,3,3,4,3,6,3,8,1,1,4,5
exhibit,memorabilia,5.31,7,6,9,7,7,3,2,7,3,6,7,7,5,2,1,6
concert,virtuoso,6.81,8,6,7.5,9,6,7,7,8,2,7.5,7,7,8,3,8,8
rock,jazz,7.59,8,9,9,5,8,7,8,9,7,7.5,8,8,9,1,9,9
museum,theater,7.19,8,7.5,8.5,6,8,8,8,9,7,6,8,8,7,1,8,7
observation,architecture,4.38,7,3,3,4,6,3,6,5,3,4,7,7,3,1,2,6
space,world,6.53,7,6,8.5,3,9,6,7,9,5,6,8,8,5,3,8,6
preservation,world,6.19,7,8,7,6,7,7,2,8,4,6,6,8,8,4,6,5
admission,ticket,7.69,8,8,9,9,9,8,7,9,6,6,6,9,9,5,8,7
shower,thunderstorm,6.31,8,9,8,6,7,8,2,7,6,4,5,9,8,2,8,4
shower,flood,6.03,8,7,8.5,6,7,8,2,7,6,6,7,8,8,0,4,4
weather,forecast,8.34,8,7.5,9,9,9,9,7,9,7,8,8,9,10,7,9,8
disaster,area,6.25,7,8,9,3,9,8,3,5,6,6,5,8,9,1,5,8
governor,office,6.34,8,5,7.5,3,7,8,1,6,5,6,6,8,7,8,8,8
architecture,century,3.78,6,0,7.5,1,6,8,1,3,1,6,5,7,3,2,2,2
